Activity,Id_Leg,Checkin,Start,Dep,Arr,End,Checkout,Repouso Extra,Tempo Repouso Extra Diurno,Tempo Repouso Extra Noturno,Tempo Repouso Extra Especial Diurno,Tempo Repouso Extra Especial Noturno
AD4090,-F,NaT,NaT,CWB,VCP,NaT,NaT,0 days 09:22:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2632,-F,NaT,NaT,VCP,CNF,NaT,NaT,0 days 00:19:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5450,-F,01/03/2019 12:05,01/03/2019 19:27,BYO,VCP,01/03/2019 21:08,01/03/2019 21:38,0 days 01:47:00,0 days 01:47:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD5801,-F,02/03/2019 11:25,02/03/2019 20:23,CFB,CNF,02/03/2019 21:26,02/03/2019 21:56,0 days 00:34:00,0 days 00:34:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2487,-F,03/03/2019 10:30,03/03/2019 19:04,FLN,VCP,03/03/2019 20:22,03/03/2019 20:52,0 days 01:28:00,0 days 01:28:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 08:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
S22,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 02:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
S18,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 06:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
S18,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 12:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2768,-F,NaT,NaT,CGH,POA,NaT,NaT,0 days 02:01:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4477,-F,NaT,NaT,PFB,VCP,NaT,NaT,0 days 08:23:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2409,-F,04/04/2019 09:40,04/04/2019 15:29,SDU,VIX,04/04/2019 16:30,04/04/2019 17:00,0 days 02:50:00,0 days 01:50:00,0 days 01:00:00,0 days 00:00:00,0 days 00:00:00
AD4011,-F,05/04/2019 07:50,05/04/2019 10:10,SDU,VCP,05/04/2019 11:18,05/04/2019 11:48,0 days 03:12:00,0 days 00:00:00,0 days 03:12:00,0 days 00:00:00,0 days 03:12:00
AD4148,-F,11/04/2019 09:14,11/04/2019 16:50,VCP,GYN,11/04/2019 18:23,11/04/2019 18:53,0 days 01:27:00,0 days 01:27:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9646,-F,12/04/2019 08:20,12/04/2019 17:07,CNF,VCP,12/04/2019 18:30,12/04/2019 19:00,0 days 00:10:00,0 days 00:10:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2690,-F,NaT,NaT,XAP,VCP,NaT,NaT,0 days 00:36:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
